video,block,fingerprint,processing_seconds
ashley_3am_dl.mp4,38,"-406.244080,167.196136,-12.576176,33.624901,-13.445852,29.109272,-10.234082,18.617701,-17.257374,11.100737,-12.437035,2.779312,-7.480556,1.664471,-2.098434,-1.215499,1.730289,-2.125848,7.504361,-3.611014",12.972
ashley_3am_dl.mp4,39,"-395.895599,165.491608,-3.243266,31.784697,-4.081855,24.615307,-3.397210,11.988079,-13.068536,5.259636,-9.870437,-1.133447,-5.729437,-1.737598,0.818322,-0.426388,2.587778,1.577154,6.778137,-5.012631",12.972
ashley_3am_dl.mp4,40,"-373.525269,191.953888,-1.854335,23.119854,-12.207367,13.066402,-8.203005,5.352901,-17.751102,0.057871,-9.465564,6.181044,1.465847,-0.012303,1.065216,-5.029820,-2.304610,0.790875,8.756264,-4.398312",12.972
ashley_3am_dl.mp4,41,"-376.776367,190.843811,15.619102,-1.247799,-2.853044,2.701197,-8.712670,-1.907468,-4.168354,4.331234,1.688581,0.048755,-3.278863,-3.528286,3.430429,-2.328520,-4.216102,-0.047421,4.114536,-2.779876",12.972
ashley_3am_dl.mp4,42,"-372.472290,182.287735,0.489693,18.126282,-7.652267,15.793910,-2.428152,4.224005,-15.591922,1.495003,-9.363456,-1.042943,-1.415983,-2.142393,0.952371,-1.909662,-2.781419,-0.051978,7.533717,-3.294202",12.972
ashley_3am_dl.mp4,43,"-435.533722,162.810745,-10.062124,46.847260,-20.914246,37.741219,-12.625970,28.911316,-17.724411,15.485492,-11.291294,10.092441,-6.340478,6.420035,-1.355964,1.420811,0.681306,-4.257845,7.024092,-3.595624",12.972
ashley_3am_dl.mp4,44,"-380.351379,168.618301,-8.554978,29.239721,-1.946142,25.389826,-5.731019,8.718243,-13.891732,3.048178,-9.381708,1.348464,-3.272052,0.391018,-0.190331,-0.419560,1.414210,-2.456625,4.976462,-2.310984",12.972
ashley_3am_dl.mp4,45,"-399.430664,161.244019,-3.723080,21.530048,8.776744,20.515129,-3.171406,7.411339,-9.574348,1.306931,0.657963,3.360819,-5.184318,-0.953442,2.536877,0.063863,1.786244,-3.283791,0.086360,-2.384449",12.972
ashley_3am_dl.mp4,46,"-357.728882,183.860657,-20.413675,20.584791,9.000469,7.244745,-14.690263,6.981343,-8.374063,-5.185382,-2.812655,-0.244828,-1.920546,1.556216,1.655388,-0.473237,5.097112,-4.083625,1.094696,-3.927940",12.972
ashley_3am_dl.mp4,47,"-362.580383,191.035004,-6.787173,8.682456,-2.682357,11.058614,-10.299498,5.726656,-10.991776,-3.432489,-8.214478,1.704613,0.795572,-0.758350,2.030095,-3.894521,-2.444959,-3.033267,2.926078,-3.337523",12.972
ashley_3am_dl.mp4,48,"-387.623108,113.978470,-39.611980,42.539421,-15.116651,32.276829,-35.509804,20.999159,-22.323971,19.179119,-11.630503,2.303663,-5.431606,6.960224,-1.723128,1.031125,2.112616,-3.574671,3.948032,-8.072439",12.972
ashley_3am_dl.mp4,49,"-303.011810,118.640549,-35.956554,15.581658,-16.391050,-9.662126,-16.794334,-6.809425,-9.972204,-4.801068,-5.508254,0.502700,-1.367750,-0.251951,-3.363423,-0.774120,1.757000,-5.946392,-5.364450,-6.929242",12.972
