video,frame,phash,processing_seconds
colecharisma_oldnavy_dl.mp4,9,9bd2a02e41ddde29,1.067
colecharisma_oldnavy_dl.mp4,10,b3c3883cc3c1de39,1.067
colecharisma_oldnavy_dl.mp4,11,95d88e133463db96,1.067
colecharisma_oldnavy_dl.mp4,12,b117e87613e1cd68,1.067
colecharisma_oldnavy_dl.mp4,13,a117e87e13f1cd48,1.067
colecharisma_pool_dl.mp4,0,b516966c69961e27,1.362
colecharisma_pool_dl.mp4,1,96148d6876ae0ed7,1.362
colecharisma_pool_dl.mp4,2,d2138f4e56af2a52,1.362
colecharisma_pool_dl.mp4,3,aa2a0a8b7978b8ed,1.362
colecharisma_pool_dl.mp4,4,aa2a120b6b6bb9f4,1.362
colecharisma_pool_dl.mp4,5,aa2a154b6ab9b96c,1.362
colecharisma_pool_dl.mp4,6,aa2a914a72b9b96d,1.362
colecharisma_pool_dl.mp4,7,aa2a8a4276b9b96d,1.362
colecharisma_pool_dl.mp4,8,b82a0a5277a9796d,1.362
colecharisma_pool_dl.mp4,9,ab3a02466bb979e8,1.362
colecharisma_pool_dl.mp4,10,ba3a06476bb971a4,1.362
colecharisma_pool_dl.mp4,11,bb2a12426bb971f4,1.362
colecharisma_pool_dl.mp4,12,c4480c74b5a97dde,1.362
colecharisma_pool_dl.mp4,13,ea546d42b4a44b7e,1.362
colecharisma_pool_dl.mp4,14,ab57660bb584486f,1.362
colecharisma_pool_dl.mp4,15,d32c4f52b48d526e,1.362
colecharisma_pool_dl.mp4,16,e34e4e619290cc7f,1.362
colecharisma_pool_dl.mp4,17,ef4e466590a04c7f,1.362
colecharisma_source_dl.mp4,0,a3c1acac994737cc,2.452
colecharisma_source_dl.mp4,1,82e4adacb9c62ec6,2.452
colecharisma_source_dl.mp4,2,8ae48dacb9cc26ce,2.452
colecharisma_source_dl.mp4,3,810bfcd653a52d5a,2.452
colecharisma_source_dl.mp4,4,83e497ac39c62ec6,2.452
colecharisma_source_dl.mp4,5,bfb1c04efd2700d8,2.452
colecharisma_source_dl.mp4,6,ec64c72ca4866cfc,2.452
colecharisma_source_dl.mp4,7,f0969f2d2ec63892,2.452
colecharisma_source_dl.mp4,8,837cd8877c8269d6,2.452
colecharisma_source_dl.mp4,9,8dd7f01b19876cd0,2.452
colecharisma_source_dl.mp4,10,80dbec370b813cdb,2.452
colecharisma_source_dl.mp4,11,e66491be4e8a9959,2.452
colecharisma_source_dl.mp4,12,dcac2769c3973892,2.452
colecharisma_source_dl.mp4,13,d8b81665e7076d83,2.452
colecharisma_source_dl.mp4,14,b18dc6f63cc13986,2.452
colecharisma_source_dl.mp4,15,e46db19a12cec6b1,2.452
colecharisma_source_dl.mp4,16,e46db39293c6c692,2.452
colecharisma_source_dl.mp4,17,dced41136cd22f86,2.452
colecharisma_source_dl.mp4,18,d6be1fa8258670d1,2.452
colecharisma_source_dl.mp4,19,bffac30c1e5027c4,2.452
colecharisma_source_dl.mp4,20,b070dc8d0ff4d872,2.452
colecharisma_source_dl.mp4,21,e95ed6a8b0851d3a,2.452
colecharisma_source_dl.mp4,22,f381c47c871769c3,2.452
colecharisma_source_dl.mp4,23,fb7f858158e0e8e0,2.452
colecharisma_source_dl.mp4,24,c4f4b3e3d9836891,2.452
colecharisma_source_dl.mp4,25,90f8e49f5a072dd4,2.452
colecharisma_source_dl.mp4,26,cca9d3660c5d2bd2,2.452
colecharisma_source_dl.mp4,27,b4c1d2244d5ee0df,2.452
colecharisma_source_dl.mp4,28,82e587ac39c62ec7,2.452
colecharisma_source_dl.mp4,29,82e583ac39c62fc7,2.452
colecharisma_source_dl.mp4,30,83e5a1a439c77ec4,2.452
colecharisma_source_dl.mp4,31,83e48bac39c626cf,2.452
colecharisma_source_dl.mp4,32,83e18225bb873edc,2.452
colecharisma_stouffers_dl.mp4,0,b166288f5cf76262,2.775
colecharisma_stouffers_dl.mp4,1,915e2a8f45f76270,2.775
colecharisma_stouffers_dl.mp4,2,b1740bce4de56272,2.775
colecharisma_stouffers_dl.mp4,3,b1512a8f4cf76233,2.775
colecharisma_stouffers_dl.mp4,4,b0512e8ecdf76232,2.775
